,IMDB,Metascore,Name,Votes,Year,Metascore_10
109,6.5,50.0,Last Christmas,33330,2019,5.0
110,6.2,48.0,In the Shadow of the Moon,33296,2019,4.8
111,7.2,75.0,Fyre,33062,2019,7.5
112,5.3,25.0,The Silence,32591,2019,2.5
113,5.3,41.0,The Curse of la Llorona,32335,2019,4.1
114,2.7,32.0,Cats,32235,2019,3.2
115,6.1,42.0,Stuber,32182,2019,4.2
116,5.6,53.0,Ma,32147,2019,5.3
117,5.3,37.0,Serenity,31247,2019,3.7
118,5.6,26.0,Dolittle,31240,2020,2.6
119,7.4,64.0,Downton Abbey,31110,2019,6.4
120,6.4,50.0,The Hunt,30498,2020,5.0
121,6.9,66.0,Judy,29906,2019,6.6
122,4.7,40.0,IO,28708,2019,4.0
123,6.8,60.0,Motherless Brooklyn,28416,2019,6.0
124,6.6,51.0,21 Bridges,27698,2019,5.1
125,5.4,30.0,After,27149,2019,3.0
126,8.2,65.0,Gully Boy,26671,2019,6.5
127,6.8,48.0,Tolkien,26493,2019,4.8
128,7.3,25.0,The Professor and the Madman,25781,2019,2.5
129,8.1,69.0,Togo,25655,2019,6.9
130,7.2,66.0,The Report,24421,2019,6.6
131,6.1,48.0,Code 8,24196,2019,4.8
132,7.5,68.0,Just Mercy,24140,2019,6.8
133,6.0,57.0,Liu lang di qiu,24074,2019,5.7
134,6.1,59.0,Between Two Ferns: The Movie,23135,2019,5.9
135,7.0,61.0,Abominable,22231,2019,6.1
136,6.5,70.0,Late Night,21782,2019,7.0
137,6.7,65.0,The Art of Self-Defense,21778,2019,6.5
138,6.8,54.0,Spies in Disguise,21749,2019,5.4
139,6.6,60.0,The Aeronauts,20777,2019,6.0
140,7.6,80.0,J'ai perdu mon corps,20711,2019,8.0
141,5.8,45.0,The Prodigy,20605,2019,4.5
142,7.6,68.0,The Boy Who Harnessed the Wind,20505,2019,6.8
143,6.3,42.0,Guns Akimbo,20233,2019,4.2
144,5.8,46.0,The Addams Family,19691,2019,4.6
145,6.6,48.0,A Rainy Day in New York,19634,2019,4.8
146,7.3,63.0,Official Secrets,19550,2019,6.3
147,5.7,51.0,Close,18877,2019,5.1
148,6.8,47.0,The Call of the Wild,18805,2020,4.7
149,6.7,68.0,Missing Link,18178,2019,6.8
150,5.2,49.0,What Men Want,17999,2019,4.9
151,8.2,88.0,Apollo 11,17942,2019,8.8
152,6.0,63.0,Dora and the Lost City of Gold,17875,2019,6.3
153,7.5,43.0,The Art of Racing in the Rain,17777,2019,4.3
154,6.0,54.0,To All the Boys: P.S. I Still Love You,17199,2020,5.4
155,6.2,70.0,Color Out of Space,17158,2019,7.0
156,7.3,73.0,Honey Boy,17027,2019,7.3
157,5.4,31.0,Countdown,17014,2019,3.1
158,6.4,60.0,The Angry Birds Movie 2,16857,2019,6.0
159,5.4,56.0,Wine Country,16668,2019,5.6
160,7.0,67.0,The Great Hack,16567,2019,6.7
161,5.8,64.0,Vivarium,15931,2019,6.4
162,4.8,22.0,Fantasy Island,15890,2020,2.2
163,5.5,55.0,The Beach Bum,15612,2019,5.5
164,6.6,55.0,The Good Liar,15522,2019,5.5
165,5.0,43.0,47 Meters Down: Uncaged,15505,2019,4.3
166,6.9,71.0,Blinded by the Light,15454,2019,7.1
167,6.2,63.0,Someone Great,15270,2019,6.3
168,7.1,62.0,Yip Man 4,15082,2019,6.2
169,7.4,43.0,A Dog's Journey,14878,2019,4.3
170,6.8,68.0,The Way Back,14844,2020,6.8
171,5.8,51.0,Let It Snow,14697,2019,5.1
172,6.3,43.0,The Aftermath,14565,2019,4.3
173,5.8,46.0,Jay and Silent Bob Reboot,14322,2019,4.6
174,6.1,39.0,Jexi,14142,2019,3.9
175,7.0,74.0,Queen & Slim,14009,2019,7.4
176,7.4,86.0,American Factory,13891,2019,8.6
177,6.3,69.0,Haunt,13857,2019,6.9
178,4.2,41.0,The Grudge,13683,2020,4.1
179,6.4,66.0,Harriet,13436,2019,6.6
180,6.5,61.0,All the Bright Places,13343,2020,6.1
181,6.0,66.0,The Kid Who Would Be King,13309,2019,6.6
182,5.7,63.0,The Hole in the Ground,13111,2019,6.3
183,4.0,51.0,Wounds,13082,2019,5.1
